task_id,homology_config_id,minimum_sequence_identity,minimum_coverage,seed,attempt,derived_seed,objective,feasible,train_sequences,train_positives,train_negatives,train_prevalence,train_size_deviation,train_prevalence_deviation,train_cluster_count,validation_sequences,validation_positives,validation_negatives,validation_prevalence,validation_size_deviation,validation_prevalence_deviation,validation_cluster_count,test_sequences,test_positives,test_negatives,test_prevalence,test_size_deviation,test_prevalence_deviation,test_cluster_count,maximum_split_size_deviation,maximum_prevalence_deviation,minimum_split_sequences,minimum_split_positives,minimum_split_negatives
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,10,34,10000064,0.002090766548748819,1,31235,24086,7149,0.7711221386265408,9.604702462418734e-06,3.9422073577988215e-05,22304,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,251,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,340,2.2410972412038607e-05,9.198778337149438e-05,6693,5162,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,11,10,11000043,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,370,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,221,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,12,18,12000054,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,297,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,294,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,13,39,13000078,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,294,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,297,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,14,1,14000043,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,327,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,264,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,15,2,15000047,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,313,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,278,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,16,9,16000057,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,324,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,267,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,17,1,17000052,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,317,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,274,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,18,6,18000060,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,316,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,275,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H70,0.7,0.9,19,8,19000065,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,22304,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,266,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,325,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
