Partition,folder,k,Seed,Algorithm,AUPRC train,AUPRC val,AUPRC test
Cluster aware,cluster_aware_k500,500,seed_7,Logistic Regression,0.8967815825826336,0.7841453219970671,0.8355450328289078
Cluster aware,cluster_aware_k500,500,seed_7,Random Forest,1.0,1.0,0.8529375125207401
Cluster aware,cluster_aware_k500,500,seed_7,SVM,0.936291153126078,0.8620906014894828,0.8590768523298955
Cluster aware,cluster_aware_k500,500,seed_1,KNN,1.0,1.0,0.7926478367862181
Cluster aware,cluster_aware_k500,500,seed_1,Logistic Regression,0.8980757869224822,0.8763607958702974,0.7868709865105392
Cluster aware,cluster_aware_k500,500,seed_1,Random Forest,1.0,0.9999999999999999,0.7973198775332453
Cluster aware,cluster_aware_k500,500,seed_1,SVM,0.9355818689822066,0.8951651050960898,0.8220499000600912
Cluster aware,cluster_aware_k500,500,seed_5,KNN,1.0,1.0,0.8300684336128432
Cluster aware,cluster_aware_k500,500,seed_5,Logistic Regression,0.8911068644635005,0.9078023422767091,0.8120315795097299
Cluster aware,cluster_aware_k500,500,seed_5,Random Forest,1.0,1.0,0.8264492051248962
Cluster aware,cluster_aware_k500,500,seed_5,SVM,0.9331069470198248,0.9393013867484313,0.8213792579314159
Cluster aware,cluster_aware_k500,500,seed_10,KNN,1.0,1.0,0.8514200287867542
Cluster aware,cluster_aware_k500,500,seed_10,Logistic Regression,0.885121328663866,0.924473658341163,0.8179249786950032
Cluster aware,cluster_aware_k500,500,seed_10,Random Forest,0.9999999999999998,1.0,0.8599426475765737
Cluster aware,cluster_aware_k500,500,seed_10,SVM,0.9271802953236941,0.9524376821991601,0.8671724190825937
Cluster aware,cluster_aware_k500,500,seed_3,KNN,1.0,1.0,0.7967686748072722
Cluster aware,cluster_aware_k500,500,seed_3,Logistic Regression,0.8978148521024732,0.8727960379063014,0.7853803930725091
Cluster aware,cluster_aware_k500,500,seed_3,Random Forest,1.0,1.0,0.8148466923679623
Cluster aware,cluster_aware_k500,500,seed_3,SVM,0.9352745327461901,0.9217126179277105,0.8067323327057675
Cluster aware,cluster_aware_k500,500,seed_4,KNN,1.0,1.0,0.8285770109911127
Cluster aware,cluster_aware_k500,500,seed_4,Logistic Regression,0.8883993826753409,0.8745224726633721,0.8286227940111873
Cluster aware,cluster_aware_k500,500,seed_4,Random Forest,0.9999999999999999,0.9999999999999999,0.8531570819474468
Cluster aware,cluster_aware_k500,500,seed_4,SVM,0.9301318215458871,0.9131907255620911,0.8543660612570777
Cluster aware,cluster_aware_k500,500,seed_6,KNN,1.0,1.0,0.8443775058301853
Cluster aware,cluster_aware_k500,500,seed_6,Logistic Regression,0.893941013829035,0.8752892018713675,0.8207549356574946
Cluster aware,cluster_aware_k500,500,seed_6,Random Forest,0.9999999999999999,0.9999999999999999,0.8471748604764888
Cluster aware,cluster_aware_k500,500,seed_6,SVM,0.9341164323502198,0.9134711644816073,0.8458629089650519
Cluster aware,cluster_aware_k500,500,seed_9,KNN,1.0,1.0,0.828283226603787
Cluster aware,cluster_aware_k500,500,seed_9,Logistic Regression,0.8945415633074738,0.8602629441927453,0.8288360657511382
Cluster aware,cluster_aware_k500,500,seed_9,Random Forest,1.0,1.0,0.8494506148482496
Cluster aware,cluster_aware_k500,500,seed_9,SVM,0.9338996035149063,0.9311210779789101,0.8580601457371693
Cluster aware,cluster_aware_k500,500,seed_8,KNN,1.0,1.0,0.8771575420299224
Cluster aware,cluster_aware_k500,500,seed_8,Logistic Regression,0.8780932719104831,0.9049106536075687,0.8680058433404056
Cluster aware,cluster_aware_k500,500,seed_8,Random Forest,0.9999999999999999,1.0,0.8861332218903714
Cluster aware,cluster_aware_k500,500,seed_8,SVM,0.9246310151521387,0.9626221345241631,0.8898656184880867
Cluster aware,cluster_aware_k500,500,seed_2,KNN,1.0,1.0,0.7874101882497215
Cluster aware,cluster_aware_k500,500,seed_2,Logistic Regression,0.8978941251604831,0.8426257974824258,0.7971269316984951
Cluster aware,cluster_aware_k500,500,seed_2,Random Forest,1.0,0.9999999999999999,0.8032843649417112
Cluster aware,cluster_aware_k500,500,seed_2,SVM,0.9391112629002561,0.9190380043878553,0.8006663482153468
Cluster aware,cluster_aware_k300,300,seed_7,KNN,1.0,1.0,0.8111079815976576
Cluster aware,cluster_aware_k300,300,seed_7,Logistic Regression,0.892669432644047,0.889513165630015,0.8120412160116144
